Index,product,category,sale_price,market_price,type,rating
47,Expert Pet Solitaire Container Set - Silver Premium Pack,"Kitchen, Garden & Pets", 499.00, 969.00,Containers Sets,3.9
48,Max Dhania - Dal Style,"Foodgrains, Oil & Masala", 98.00, 120.00,Whole Spices,4.1
49,Fusion Pudina Chutney Masala Range,"Foodgrains, Oil & Masala", 46.75, 55.00,Blended Masalas,3.9
50,Pro Bodylicious Deodorant Spray - Mate (For Men) Bundle,Beauty & Hygiene, 136.50, 195.00,Men's Deodorants,4.1
51,"Advanced Sport Deo Spray - Fresh, for Men Edition",Beauty & Hygiene, 112.75, 205.00,Men's Deodorants,3.7
52,Max Choco Deck - Mini Delights Model,Snacks & Branded Foods, 160.00, 200.00,Chocolates,4.4
53,Essential Eau De Toilette - Homme Green Bundle,Beauty & Hygiene, 427.50, 450.00,Eau De Toilette,4.3
54,Advanced Lemon & Tea Tree Oil Soap Model,Beauty & Hygiene, 360.00, 360.00,Bathing Bars & Soaps,4.2
55,Pro Flavoured Cream Wafer Roll - Strawberry Premium Pack,Gourmet & World Food, 275.00, 275.00,"Cookies, Biscotti, Wafer",4.3
56,Pro Storage/Lunch Steel Container with PP Lid - Red Set,"Kitchen, Garden & Pets", 109.00, 299.00,Steel Lunch Boxes,2.6
57,Signature Plain Green Olives Premium Pack,Gourmet & World Food, 179.00, 179.00,"Olive, Jalapeno, Gherkin",5.0
58,Elite Quinoa - Organic Set,"Foodgrains, Oil & Masala", 250.00, 250.00,"Organic Rice, Other Rice",3.9
59,Elite After Shave Splash - Arctic Ice Series,Beauty & Hygiene, 459.62, 469.00,Shaving Care,3.9
60,Pro Colour Catcher Sheets Edition,Cleaning & Household, 799.00, 799.00,Imported Cleaners,4.0
61,Del Monte Ketchup 1kg,Groceries, 80.00, 160.00,Ketchups & Spreads,3.7
62,Wingreens Farms Premium Vey Mayo 800 g,Groceries, 125.00, 250.00,Ketchups & Spreads,3.919943820224719
63,Expert Sauce - Sweet & Sour Set,Gourmet & World Food, 245.00, 245.00,Thai & Asian Sauces,3.7
64,Fusion Super Hot and Sweet Mango Chutney Line,Snacks & Branded Foods, 100.00, 125.00,Chutney Powder,3.0
65,Advanced Pani Puri Mix Paste Collection,"Foodgrains, Oil & Masala", 48.95, 55.00,Cooking Pastes,4.1
66,Pro Peach Syrup Edition,Gourmet & World Food, 850.00, 850.00,Gourmet Juices & Drinks,4.2
67,Pro Acne & Oil Control Face Wash Style,Beauty & Hygiene, 80.00, 100.00,Face & Body,4.0
68,Lotus Spices Green Elaichi 10 g,Groceries, 38.00, 40.00,Masalas & Spices,3.6
69,Fusion Choco Deck - French Dessert Inspired Layered Bar Series,Snacks & Branded Foods, 56.00, 70.00,Chocolates,4.0
70,Expert Extra Fine Green Peas Selection,Gourmet & World Food, 202.50, 225.00,Beans & Pulses,4.5
71,New Generation Soothing Cucumber Facial Scrub With Apricot Seeds Edition,Beauty & Hygiene, 299.40, 499.00,Face Care,3.7
72,Essential Foochka Premium Pack,Snacks & Branded Foods, 60.00, 60.00,"Papads, Ready To Fry",3.9
73,Expert Argan-Liquid Gold Hair Spa Model,Beauty & Hygiene, 199.50, 210.00,Hair & Scalp Treatment,4.4
74,"Expert Baby Bed Protector - Sublimation Print, Pink Bundle",Baby Care, 199.00, 199.00,Baby Health,3.7
75,Essential Corporate Planner Diary With Premium PU Leather Cover With Card Holder Range,Cleaning & Household, 399.00, 399.00,"Notebooks, Files, Folders",3.919943820224719
76,Kellogg's Chocos Variety Pack 153 g (Pack of 7),Groceries, 55.00, 70.00,Breakfast Cereals,3.7
77,"Artisan Atta Chalan - Stainless Steel, Size- No.8 Selection","Kitchen, Garden & Pets", 149.00, 179.00,Kitchen Tools & Other Accessories,3.5
78,Expert Dog Supplement - Absolute Skin + Coat Tablet Bundle,"Kitchen, Garden & Pets", 348.60, 498.00,Pet Meals & Treats,4.0
79,"Fusion Peanut Butter - Creamy, Super Collection",Gourmet & World Food, 209.40, 349.00,"Chocolate, Peanut Spread",4.3
80,Advanced Sugar Free Petit Beurre - The Taste of France Bundle,Snacks & Branded Foods, 35.00, 35.00,"Marie, Health, Digestive",4.0
81,Artisan Aqua Halo Rejuvenating Conditioner Series,Beauty & Hygiene, 168.75, 225.00,Shampoo & Conditioner,1.0
82,Advanced Ayurvedic Anti-Tan Face Pack Style,Beauty & Hygiene, 269.40, 449.00,Face Care,3.919943820224719
83,"Kellogg's Fruit, Nut & Seeds Muesli 750 g",Groceries, 336.00, 499.00,Breakfast Cereals,3.7
84,Mohan Impex Cocoa Powder 500 gm [HoReCa Pack],Groceries, 440.00, 649.00,Baking ,3.6
85,Good Life Chilli Powder 100g,Groceries, 25.00, 50.00,Masalas & Spices,3.6
86,Pro Dog Supplement - Absolute Calcium Tablet Style,"Kitchen, Garden & Pets", 339.15, 399.00,Pet Meals & Treats,3.9
87,Essential Battery Power Kids Toothbrush - Barbie Model,Beauty & Hygiene, 374.25, 499.00,Electric Toothbrush,4.0
88,Advanced Organic Carom Seeds/Ajwain/Om Kalu Series,"Foodgrains, Oil & Masala", 72.00, 72.00,Whole Spices,3.919943820224719
89,"Pro Padded Harness - 3/4 inch, Grey Colour Line","Kitchen, Garden & Pets", 840.00, 840.00,Pet Collars & Leashes,3.919943820224719
90,"Fusion Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour Collection",Beauty & Hygiene, 43.00, 43.00,Toothpaste,4.0
91,Ultimate Pure & Gentle Face Wash Series,Beauty & Hygiene, 120.00, 150.00,Face Care,4.3
92,Advanced Sesame Seed Oil Collection,Beauty & Hygiene, 210.00, 300.00,Aromatherapy,3.5
93,Advanced Til Dil Seeds Selection,Gourmet & World Food, 70.00, 70.00,Roasted Seeds & Nuts,3.6
94,"Pro Penta Plastic Pet Water Bottle - Green, Wide Mouth Premium Pack","Kitchen, Garden & Pets", 75.00, 126.00,Water & Fridge Bottles,3.919943820224719
95,Essential Acne Pimple Kit For Acne & Pimple Removal Collection,Beauty & Hygiene, 500.00, 500.00,Face Care,3.0
96,"Expert Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch Set","Kitchen, Garden & Pets", 135.00, 299.00,Kitchen Tools & Other Accessories,4.3
97,Fusion & Moms Bathing Soap - Jasmine Collection,Beauty & Hygiene, 108.00, 120.00,Bathing Bars & Soaps,4.6
98,Aashirvaad Select Sharbatti Wheat Atta 5 kg,Groceries, 299.00, 361.00,Flours & Pre-Mixes,3.7
99,Elite Amla Chatpata Dry Fruit Collection,Gourmet & World Food, 49.00, 65.00,Dry Fruits & Berries,3.919943820224719
100,"Advanced Toothbrush Superhero Assorted, Batman/Spiderman Collection",Beauty & Hygiene, 49.00, 79.00,Toothbrush,3.9
101,Ultimate Chips - Topica Set,Snacks & Branded Foods, 65.00, 65.00,Chips & Corn Snacks,3.9
102,Pro Cup a Soup - Croutons Cream of Asparagus Selection,Gourmet & World Food, 269.10, 299.00,Imported Soups,3.919943820224719
103,India Gate Regular Choice Basmati Rice 5 kg,Groceries, 429.00, 515.00,Rice,3.6
104,Britannia Toastea Premium Bake Rusk 182 g,Groceries, 30.00, 35.00,Snacks,3.6
105,Fusion Organic Dal - Masoor Collection,"Foodgrains, Oil & Masala", 96.00, 96.00,Organic Dals & Pulses,3.9
106,Max Strawberry Ice Cream Line,Gourmet & World Food, 225.00, 225.00,Gourmet Ice Cream,3.919943820224719
107,Advanced Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml Model,Cleaning & Household, 95.00, 114.00,Dishwash Bars & Powders,3.919943820224719
108,Advanced Jupiter Water/Juice Glass Tumbler Premium Pack,"Kitchen, Garden & Pets", 479.00, 629.00,Glassware,3.919943820224719
109,"Ultimate Cheese - Feta Greek, Block Edition",Gourmet & World Food, 695.70, 773.00,International Cheese,3.919943820224719
110,Advanced Avida 3-in-1 Semi Economy Pouch -  FG01248 Edition,Cleaning & Household, 31.50, 35.00,"Agarbatti, Incense Sticks",4.6
111,Essential Bathing Soap - Sandal & Turmeric Selection,Beauty & Hygiene, 254.15, 299.00,Bathing Bars & Soaps,4.2
112,New Generation Sweet Corn Kernels - Chipotle Collection,Fruits & Vegetables, 55.00, 55.00,Cut & Peeled Veggies,3.919943820224719
113,Brooke Bond Taj Mahal Tea 500g,Groceries, 394.00, 470.00,Tea & Coffee,3.7
114,Tata Gold Tea 250g,Groceries, 148.00, 160.00,Tea & Coffee,3.7
115,Signature Ashwagandha Tablets Set,Beauty & Hygiene, 120.00, 120.00,Ayurveda,3.919943820224719
116,Ultimate Hard Anodised Ezee-Pour Saucepan With Lid - L88 Model,"Kitchen, Garden & Pets", 864.50, 910.00,Tawa & Sauce Pan,4.6
117,Artisan Topp Up Milk - Elaichi Range,"Bakery, Cakes & Dairy", 80.01, 90.00,"Flavoured, Soya Milk",5.0
118,Pro Namkeen - Madras Mixture Selection,Snacks & Branded Foods, 10.00, 10.00,Namkeen & Savoury Snacks,4.1
119,"Signature Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack Premium Pack","Kitchen, Garden & Pets", 129.00, 249.00,Steel Storage Containers,1.5
120,Pro Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance Collection,Beauty & Hygiene, 179.40, 299.00,Men's Deodorants,4.0
121,Ultimate Hair Remover Spray - Foam Lemon Style,Beauty & Hygiene," 1,200.00"," 1,200.00",Hair Removal,3.919943820224719
122,Lotte Choco Pie 28 g (12 pcs),Groceries, 105.00, 170.00,Chocolates & Candies,3.7
123,Pro Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill Premium Pack,Beauty & Hygiene, 32.55, 35.00,Hand Wash & Sanitizers,4.4
124,Max Frankincense Oil Edition,Beauty & Hygiene, 258.75, 345.00,Aromatherapy,3.7
125,"Artisan Wonder Diaper Pants - Xtra Large, 12-17 Kg Bundle",Baby Care," 1,266.38"," 1,398.00",Diapers,4.0
126,Essential Samrakshana Vaastu Deepa Thailam Premium Pack,"Foodgrains, Oil & Masala", 515.00, 515.00,Other Edible Oils,3.919943820224719
127,Pro Quinoa - Organic Black Collection,Gourmet & World Food, 495.00, 495.00,Quinoa & Grains,3.919943820224719
128,Cadbury Celebrations 144.1 g,Groceries, 108.00, 145.00,Chocolates & Candies,3.6
129,Artisan Fructis Serum - Long & Strong Collection,Beauty & Hygiene, 230.00, 230.00,Shampoo & Conditioner,4.8
130,Ultimate Citrus Blast Orange Lemon Soap Free Body Wash Style,Beauty & Hygiene, 225.00, 250.00,Shower Gel & Body Wash,3.7
131,Max Veda Marie Light Biscuits Range,Snacks & Branded Foods, 30.00, 30.00,"Marie, Health, Digestive",4.4
132,"Advanced 2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet Collection","Kitchen, Garden & Pets", 289.00, 749.00,Umbrella,3.6
133,Ultimate Aamras Mango Fruit Juice Model,Beverages, 243.00, 360.00,Juices,3.919943820224719
134,Essential Henna & Ginseng Anti Hair Loss Shampoo Set,Beauty & Hygiene, 137.75, 145.00,Shampoo & Conditioner,3.6
135,"Ultimate Sandwich Toaster - Non-Stick, Gas Line","Kitchen, Garden & Pets", 249.00, 315.00,Kadai & Fry Pans,3.3
136,"Advanced Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours Range",Baby Care, 349.00, 349.00,Baby Food,4.0
137,Fusion Incense Sticks - Sandal Bundle,Cleaning & Household, 60.00, 60.00,"Agarbatti, Incense Sticks",4.6
138,Elite SPF 15 Sunscreen Lotion Collection,Beauty & Hygiene, 209.30, 299.00,Body Care,5.0
139,Pro Fenugreek Edition,"Foodgrains, Oil & Masala", 28.50, 30.00,Organic Masalas & Spices,4.2
140,New Generation Caramel Popcorn - Himalayan Salt Collection,Gourmet & World Food, 44.10, 49.00,Gourmet Popcorn,3.919943820224719
141,Essential Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control Bundle,Beauty & Hygiene, 182.75, 215.00,Aromatherapy,4.0
142,Advanced Sapota - Organically Grown Set,Fruits & Vegetables, 35.00, 43.75,Organic Fruits,3.919943820224719
143,Fusion Spiced Tea - Blend Of 7 Refreshing Spices Set,Beverages, 150.00, 150.00,Leaf & Dust Tea,4.3
144,"Pro Steel Bowl/Vati/Katori - No. 4, Chutney Style","Kitchen, Garden & Pets", 69.00, 159.00,Bowls & Vessels,3.919943820224719
145,"Pro Adult Dry Cat Food - +1 Year, Ocean Fish Edition","Kitchen, Garden & Pets", 999.00, 999.00,Pet Meals & Treats,3.919943820224719
146,Expert Millet Rusk - Sweet Line,"Bakery, Cakes & Dairy", 100.00, 100.00,Rusks,4.5
147,"New Generation Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm Range","Kitchen, Garden & Pets"," 1,099.00"," 1,335.00",Kadai & Fry Pans,3.8
148,"Artisan Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush Line",Cleaning & Household, 53.35, 55.00,Air Freshener,4.2
149,Ultimate Cabbage - Red Model,Fruits & Vegetables, 23.00, 28.75,Cabbage & Cauliflower,3.919943820224719
150,Artisan Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box Line,"Kitchen, Garden & Pets", 269.00, 299.00,Lunch Boxes,3.0
151,Signature Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E) Premium Pack,"Foodgrains, Oil & Masala", 183.00, 185.00,"Sunflower, Rice Bran Oil",4.1
152,Elite Premium Square Plastic Container - Green Edition,"Kitchen, Garden & Pets", 179.00, 280.00,Containers Sets,3.9
153,Ultimate Instant Popcorn - Butter Delite Set,Snacks & Branded Foods, 29.70, 33.00,Chips & Corn Snacks,4.2
154,Pro Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g Collection,Beauty & Hygiene, 455.00, 525.00,Lip Care,3.919943820224719
155,Advanced Nutrition Plus Health Supplement - Joint Support Model,Beauty & Hygiene," 1,299.00"," 1,299.00",Supplements & Proteins,3.919943820224719
156,Expert Glass Belleza Bowl - Wine Selection,"Kitchen, Garden & Pets", 299.00, 398.00,Glassware,3.919943820224719
157,Ultimate Dark Fantasy - Choco Fills Biscuits - Cookies Range,Snacks & Branded Foods, 23.76, 30.00,Cream Biscuits & Wafers,4.3
158,Fusion Banana - Red Set,Fruits & Vegetables, 39.00, 48.75,"Banana, Sapota & Papaya",3.919943820224719
159,"Artisan Chilli - Bajji, Mild Premium Pack",Fruits & Vegetables, 14.00, 17.50,"Lemon, Ginger & Garlic",3.919943820224719
160,Signature I Love You Fruit N Nut Chocolate Range,Snacks & Branded Foods, 90.00, 100.00,Chocolates,4.2
161,Pro Pitted Green Olives Premium Pack,Gourmet & World Food, 230.00, 230.00,"Olive, Jalapeno, Gherkin",4.4
162,Artisan Glass Mixing Bowl With Lid - Polo Bundle,"Kitchen, Garden & Pets", 159.00, 190.00,Glassware,3.7
163,Max Cake Gel Edition,Gourmet & World Food, 85.50, 90.00,"Baking, Cake Decorations",3.919943820224719
164,Max Toffees - Excellence Assorted Series,Gourmet & World Food, 250.00, 250.00,International Chocolates,3.919943820224719
165,Pro Organic Idly Podi - Ginger Series,Snacks & Branded Foods, 75.00, 75.00,Breakfast & Snack Mixes,3.9
166,Artisan Glass Water Bottle - Aquaria Organic Purple Edition,"Kitchen, Garden & Pets", 369.00, 425.00,Water & Fridge Bottles,4.8
167,Expert Stainless Steel Pav Bhaji/Idli Oval Shaped Plate Series,"Kitchen, Garden & Pets", 125.00, 125.00,Plates & Tumblers,3.6
168,Max Organic Cow Ghee/Tuppa Collection,"Foodgrains, Oil & Masala", 280.00, 280.00,"Organic Edible Oil, Ghee",4.2
169,Signature Dates/Kharjura - Deseeded Selection,"Foodgrains, Oil & Masala", 66.00, 66.00,Other Dry Fruits,4.1
170,Advanced Chutney - Sweet Mango Sliced (without Garlic) Series,Snacks & Branded Foods, 90.00, 90.00,Lime & Mango Pickle,3.9
171,Advanced Turmeric Powder/Arisina Pudi Collection,"Foodgrains, Oil & Masala", 32.00, 64.00,Powdered Spices,4.2
172,Pro Bread - Fruit Model,"Bakery, Cakes & Dairy", 20.00, 20.00,"Milk, White & Sandwich",3.919943820224719
173,Ultimate Bombay Street Food Spice Blend Selection,Gourmet & World Food, 225.00, 225.00,"Curry Paste, Coconut Milk",3.919943820224719
174,Signature Ragi Flakes Premium Pack,Snacks & Branded Foods, 225.00, 225.00,Flakes,4.5
175,Fusion Mustard Oil - Cold Pressed Style,Gourmet & World Food, 250.00, 250.00,Flavoured & Other Oils,3.7
176,Artisan Juice/Water Glass - Long Drink Nord Model,"Kitchen, Garden & Pets", 639.00, 975.00,Glassware,3.3
177,New Generation Glass Amaze Air Tight Jar - Pink Model,"Kitchen, Garden & Pets", 289.00, 358.00,Glassware,3.919943820224719
178,"New Generation Finger Brush For Kids - Blue, Ultra Soft Collection",Beauty & Hygiene, 120.00, 120.00,Toothbrush,4.3
179,Elite Water/Juice Glass  - Jupiter Long Glass Series,"Kitchen, Garden & Pets", 459.00, 705.00,Glassware,3.5
180,Ultimate Energy Bar - Choco Crunch Bundle,Gourmet & World Food, 50.00, 50.00,"Healthy, Baked Snacks",3.919943820224719
181,Pro Breeze - Razor Blades Range,Beauty & Hygiene, 350.00, 350.00,Hair Removal,4.3
182,"Fusion Confeito Vermicelli Combo, Sprinkles Edition",Gourmet & World Food, 247.00, 260.00,"Baking, Cake Decorations",3.919943820224719
183,Signature Olive Oil - Classic Selection,Gourmet & World Food, 429.03, 700.00,"Pure, Pomace Olive Oil",4.5
184,"Fusion Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth Range","Kitchen, Garden & Pets", 25.00, 42.00,Water & Fridge Bottles,3.919943820224719
185,New Generation Chia Seeds Style,Gourmet & World Food, 185.00, 185.00,Quinoa & Grains,3.919943820224719
186,Max Skin Cream Selection,Beauty & Hygiene, 112.50, 150.00,Face Care,3.1
187,Artisan One Touch Air Purifier Freshener - Floral Bouquet Refill Collection,Cleaning & Household, 77.00, 77.00,Air Freshener,4.2
188,Pro Water/Juice Glass Collection,"Kitchen, Garden & Pets", 189.00, 220.00,Glassware,3.7
189,Pro Color Naturals Creme Riche Ultra Hair Color - Raspberry Red Model,Beauty & Hygiene, 199.00, 199.00,Hair Color,4.1
190,Essential Nomarks - Antimarks Soap For Oily Skin Line,Beauty & Hygiene, 40.00, 40.00,Bathing Bars & Soaps,4.3
191,"Fusion Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds Series",Gourmet & World Food, 450.00, 450.00,Gourmet Tea & Tea Bags,3.919943820224719
192,Advanced Baby Napkins - Mini Terry Style,Baby Care, 179.00, 179.00,Bibs & Napkins,4.3
193,"Expert Printed Fabric Pencil Pouch - Purple, BB1263DPPL Style",Cleaning & Household, 232.00, 399.00,Exam Pads & Pencil Box,4.0
194,Essential Snacks - Roasted Mixture Lime Line,Gourmet & World Food, 79.00, 109.00,"Healthy, Baked Snacks",3.919943820224719
195,Essential Organic Dosa Mix - Jowar Model,Snacks & Branded Foods, 80.00, 80.00,Breakfast & Snack Mixes,3.7
196,Signature Lunch Box/Tiffin Set - Green BB 570 2 Range,"Kitchen, Garden & Pets", 509.00, 565.00,Lunch Boxes,3.6
197,Expert BCAA Energy Drink - Berry Flavour Line,Beverages, 110.00, 110.00,Sports & Energy Drinks,4.0
198,Expert Coffee Energizing Face Scrub Line,Beauty & Hygiene, 142.50, 190.00,Face Care,3.0
199,Max Pain Relief - Oil Bundle,Beauty & Hygiene, 90.00, 100.00,Hair Oil & Serum,4.4
200,Advanced Ultra Soft New Born Diapers - Extra Small Premium Pack,Baby Care, 699.00, 999.00,Diapers,3.9
201,Signature Jungle Stimulating Facial Cleanser Style,Beauty & Hygiene, 799.00, 799.00,Face Care,3.919943820224719
202,Signature Ylang Ylang Essential Oil Range,Beauty & Hygiene, 328.00, 450.00,Aromatherapy,4.5
203,Pro Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey) Bundle,Beauty & Hygiene, 40.00, 40.00,Bathing Bars & Soaps,4.3
204,Fusion Soap Model,Beauty & Hygiene, 430.00, 430.00,Bathing Bars & Soaps,5.0
205,Advanced Yellow Balm Line,Beauty & Hygiene, 195.00, 195.00,Everyday Medicine,3.919943820224719
206,"Ultimate LED Bulb - 12 Watt, Cool Daylight, B22 Base Edition","Kitchen, Garden & Pets", 159.00, 260.00,CFL & Led Bulbs,4.0
207,Expert Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g Premium Pack,Fruits & Vegetables, 81.06, 109.38,Indian & Exotic Herbs,3.919943820224719
208,Artisan Jaggery/Bella Powder - Pesticide Free Selection,"Foodgrains, Oil & Masala", 56.00, 70.00,Sugar & Jaggery,3.9
209,New Generation Ready Masala - Kashmiri Meat Range,"Foodgrains, Oil & Masala", 19.00, 20.00,Blended Masalas,4.2
210,"Fusion Water Saving Aerator, Switch Line",Cleaning & Household, 509.00, 509.00,"Kitchen, Glass & Drain",3.919943820224719
211,Artisan Lemongrass Anti-Pigmentation Massage Cream Set,Beauty & Hygiene, 148.50, 165.00,Face Care,3.919943820224719
212,Signature Breakfast Mix - Finger Millet Ragi Idli Selection,Snacks & Branded Foods, 119.00, 149.00,Breakfast & Snack Mixes,4.2
213,Expert Herbal Wine Grapefruit Lip Balm Selection,Beauty & Hygiene, 99.00, 99.00,Lip Care,4.4
214,Artisan Masala Upma Bundle,Snacks & Branded Foods, 20.00, 20.00,Heat & Eat Ready Meals,3.4
215,Signature Maharishi Ayurveda Ayush Kwath Collection,Beauty & Hygiene, 165.00, 165.00,Ayurveda,3.919943820224719
216,New Generation Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257) Edition,"Kitchen, Garden & Pets"," 2,369.00"," 2,780.00",Pressure Cookers,3.919943820224719
217,Ultimate Chicken Liver Gourmet Loaf With Pumpkin - Super Food Set,"Kitchen, Garden & Pets", 150.00, 150.00,Pet Meals & Treats,3.919943820224719
218,Essential Bath & Body Oil - Oriental Spicy Rose Range,Beauty & Hygiene, 699.00, 699.00,Aromatherapy,2.0
219,"Elite Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone Selection",Beauty & Hygiene, 333.00, 450.00,Body Care,4.2
